ID,Name,Rank,State,State_code,County,County_code,
1,Great Smoky Mountains National Park,1,North Carolina,37,Swain,173,
2,Great Smoky Mountains National Park,1,North Carolina,37,Haywood,087,
3,Great Smoky Mountains National Park,1,Tennessee,47,Sevier,155,
4,Great Smoky Mountains National Park,1,Tennessee,47,Blount,009,
5,Great Smoky Mountains National Park,1,Tennessee,47,Cocke,029,
6,Saguaro National Park,2,Arizona,04,Pima,019,
8,Petrified Forest National Park,3,Arizona,04,Navajo,017,
9,Petrified Forest National Park,3,Arizona,04,Apache,001,
10,Crater Lake National Park,4,Oregon,41,Klamath,035,
11,Redwood National Park,5,California,06,Humboldt,023,
12,Katmai National Park,6,Alaska,02,Lake and Peninsula,164,
13,Katmai National Park,6,Alaska,02,Kodiak Island,150,
14,Katmai National Park,6,Alaska,02,Kenai Peninsula,122,
15,Katmai National Park,6,Alaska,02,Bristol Bay borough,060,
16,Mesa Verde National Park,7,Corolado,08,Montezuma,083,
17,Everglades National Park,8,Florida,12,Miami Dade,086,
18,Everglades National Park,8,Florida,12,Monroe,099,
19,Everglades National Park,8,Florida,12,Collier,021,
20,Grand Canyon National Park,9,Arizona,04,Coconino,005,
21,Grand Canyon National Park,9,Arizona,04,Mohave,015,
22,Channel Islands National Park,10,California,06,Santa Barbara,083,
23,Channel Islands National Park,10,California,06,Ventura,111,
